Equipment_ID,Date,Temperature,Pressure,Vibration,Usage_Hours
Equipment_2,2023-06-09,87.61341794173308,34.11188162147289,2.7023556733517595,2
Equipment_2,2023-01-08,82.16587574122225,27.518862004841573,2.459861633366839,7
Equipment_3,2023-09-27,88.47029556468945,26.847760554744227,1.9572060995250888,15
Equipment_2,2023-06-18,96.44441438341323,28.35446383754257,0.5258640045690037,16
Equipment_1,2023-03-04,95.67632552377242,21.217815360715555,2.731345576924154,1
Equipment_3,2022-12-20,91.36544591254022,25.757054930853585,1.3886805787093328,17
Equipment_1,2023-03-18,95.18437044459878,30.59880702302725,1.0208801609096612,20
Equipment_3,2022-11-12,92.34424380632264,33.99491489165576,1.8776587342723317,18
Equipment_3,2023-09-29,91.64452704556703,32.46042909717552,1.8431263120170331,13
Equipment_2,2023-08-06,83.04080917940928,33.011857528329145,2.9277664055863317,7
Equipment_1,2023-05-04,78.25537170657468,27.968094345902678,0.8112834740862382,16
Equipment_1,2023-08-30,76.75536691670374,24.333257738147,0.7195575885656007,1
Equipment_1,2022-11-05,81.23389250461625,31.03999416142721,0.9896263516283208,11
Equipment_1,2023-07-25,88.6659340011088,26.7258432607103,2.326171071115607,23
Equipment_2,2023-02-20,88.66799638217921,32.440448716973044,1.3874707608041041,4
Equipment_3,2023-04-16,90.11386054098443,35.77451744625564,1.2985749023991713,9
Equipment_1,2023-03-20,72.89143013658533,27.775497424195038,0.7234904039603325,24
Equipment_2,2023-02-03,85.08863965361539,20.757536920989565,2.461906493902932,15
Equipment_3,2023-08-01,73.53028542775891,37.375991255357974,0.9875947083896798,4
Equipment_3,2023-09-24,78.65983734427006,38.940530336086965,1.6509894274862345,7
Equipment_2,2023-03-30,98.66629900828974,29.977180182347105,2.932636569388464,12
Equipment_1,2022-10-19,90.86550166736895,37.00536650030542,1.888051608098895,10
Equipment_1,2022-11-23,86.44983938537544,25.201336416512554,0.6542628257953788,24
Equipment_1,2023-07-08,81.65875593245346,26.83734709486022,2.036030910401375,5
